"species","colour","cluster","cluster_int"
"Corbula.gibba","#E16A86","F",6
"Ophiura.albida","#E16A86","F",6
"Abra.alba","#E16A86","F",6
"Levinsenia.gracilis","#E16A86","F",6
"Nephtys.ciliata","#E16A86","F",6
"Dendrodoa.grossularia","#E16A86","F",6
"Electra.pilosa","#E16A86","F",6
"Pholoe.assimilis","#E16A86","F",6
"Malacobdella.grossa","#E16A86","F",6
"Nereimyra.punctata","#E16A86","F",6
"Pherusa.plumosa","#E16A86","F",6
"Astarte.borealis","#E16A86","F",6
"Astarte.elliptica","#E16A86","F",6
"Priapulus.caudatus","#E16A86","F",6
"Terebellides.stroemii","#E16A86","F",6
"Gammarus.tigrinus","#E16A86","F",6
"Scoloplos.armiger","#E16A86","F",6
"Ampharete.baltica","#E16A86","F",6
"Aricidea.suecica","#E16A86","F",6
"Arctica.islandica","#E16A86","F",6
"Trochochaeta.multisetosa","#E16A86","F",6
"Asterias.rubens","#E16A86","F",6
"Phyllodoce.mucosa","#E16A86","F",6
"Phycodrys.rubens","#E16A86","F",6
"Dipolydora.quadrilobata","#E16A86","F",6
"Gastrosaccus.spinifer","#E16A86","F",6
"Parvicardium.pinnulatum","#E16A86","F",6
"Harmothoe.imbricata","#E16A86","F",6
"Kurtiella.bidentata","#E16A86","F",6
"Sphaceloderma.caespitulum","#E16A86","F",6
"Callopora.lineata","#E16A86","F",6
"Mya.truncata","#E16A86","F",6
"Lineus.ruber","#E16A86","F",6
"Crassicorophium.crassicor","#E16A86","F",6
"Aricidea.minuta","#E16A86","F",6
"Spio.goniocephala","#E16A86","F",6
"Eteone.longa","#E16A86","F",6
"Nephtys.caeca","#E16A86","F",6
"Pontoporeia.femorata","#B88A00","E",5
"Diastylis.rathkei","#B88A00","E",5
"Bylgides.sarsi","#B88A00","E",5
"Halicryptus.spinulosus","#B88A00","E",5
"Micrura.baltica","#B88A00","E",5
"Monoporeia.affinis","#B88A00","E",5
"Saduria.entomon","#B88A00","E",5
"Baltidrilus.costatus","#C86DD7","D",4
"Aglaothamnion.tenuissimum","#C86DD7","D",4
"Fabricia.stellaris","#C86DD7","D",4
"Ceramium.diaphanum","#C86DD7","D",4
"Streblospio.shrubsolii","#C86DD7","D",4
"Polyides.rotunda","#C86DD7","D",4
"Alitta.succinea","#C86DD7","D",4
"Desmarestia.viridis","#C86DD7","D",4
"Tubificoides.benedii","#C86DD7","D",4
"Vertebrata.fucoides","#C86DD7","D",4
"Peringia.ulvae","#C86DD7","D",4
"Mya.arenaria","#C86DD7","D",4
"Cerastoderma.glaucum","#C86DD7","D",4
"Hediste.diversicolor","#C86DD7","D",4
"Gammarus.zaddachi","#C86DD7","D",4
"Amphibalanus.improvisus","#C86DD7","D",4
"Corophium.volutator","#C86DD7","D",4
"Gammarus.salinus","#C86DD7","D",4
"Bathyporeia.pilosa","#C86DD7","D",4
"Jaera.albifrons","#C86DD7","D",4
"Marenzelleria","#C86DD7","D",4
"Limecola.balthica","#C86DD7","D",4
"Pygospio.elegans","#C86DD7","D",4
"Coccotylus.Phyllophora","#C86DD7","D",4
"Mytilus","#C86DD7","D",4
"Rhodomela.confervoides","#C86DD7","D",4
"Einhornia.crustulenta","#C86DD7","D",4
"Tubificoides.pseudogaster","#50A315","C",3
"Scytosiphon.lomentaria","#50A315","C",3
"Polydora.cornuta","#50A315","C",3
"Sphaerotrichia.divaricata","#50A315","C",3
"Ulva.lactuca","#50A315","C",3
"Dictyosiphon.chordaria","#50A315","C",3
"Mesogloia.vermiculata","#50A315","C",3
"Platynereis.dumerilii","#50A315","C",3
"Heteromastus.filiformis","#50A315","C",3
"Delesseria.sanguinea","#50A315","C",3
"Polysiphonia.stricta","#50A315","C",3
"Arenicola.marina","#50A315","C",3
"Capitella.capitata","#50A315","C",3
