"scientific_name","zone_sum","presence_sum","zone_prop"
"Aglaothamnion.tenuissimum",183486,432567,0.42418
"Ahnfeltia.plicata",44366,282617,0.15698
"Ascophyllum.nodosum",1,9185,0.00011
"Battersia.arctica",281288,900071,0.31252
"Bolboschoenus.maritimus",23104,53194,0.43433
"Bonnemaisonia.hamifera",25744,337080,0.07637
"Bryopsis.hypnoides",43908,341762,0.12848
"Bryopsis.plumosa",13968,223934,0.06238
"Butomus.umbellatus",101,6346,0.01592
"Callithamnion.corymbosum",105855,462146,0.22905
"Callithamnion.tetragonum",28,21291,0.00132
"Callitriche.hermaphroditica",44,31983,0.00138
"Caltha.palustris",2,16326,0.00012
"Ceramium.diaphanum",417069,507214,0.82227
"Ceramium.tenuicorne",310706,784063,0.39628
"Ceramium.virgatum",94391,408280,0.23119
"Ceratophyllum.demersum",11120,66800,0.16647
"Chaetomorpha.linum",143194,367933,0.38918
"Chaetomorpha.melagonium",71980,451731,0.15934
"Chara.aspera",3723,95198,0.03911
"Chara.baltica",51560,105387,0.48924
"Chara.canescens",30643,91050,0.33655
"Chara.connivens",11451,53663,0.21339
"Chara.horrida",3837,4099,0.93608
"Chara.tomentosa",2557,39064,0.06546
"Chara.virgata",137,10078,0.01359
"Chondrus.crispus",12315,291091,0.04231
"Chorda.filum",41269,216166,0.19091
"Chordaria.flagelliformis",705,122032,0.00578
"Cicuta.virosa",36,6490,0.00555
"Cladophora.rupestris",58853,369017,0.15949
"Cladophora.sericea",84875,219244,0.38713
"Coccotylus.Phyllophora",895033,1527232,0.58605
"Cruoria.pellita",10855,334990,0.0324
"Cystoclonium.purpureum",19681,351587,0.05598
"Dasya.baillouviana",10337,179188,0.05769
"Delesseria.sanguinea",136652,552811,0.24719
"Derbesia.marina",87,310592,0.00028
"Desmarestia.aculeata",1422,295810,0.00481
"Desmarestia.viridis",393965,725880,0.54274
"Dictyosiphon.chordaria",5891,48190,0.12225
"Dictyosiphon.foeniculaceus",116960,302236,0.38698
"Dumontia.contorta",70489,228451,0.30855
"Ectocarpus.Pylaiella",247063,624947,0.39533
"Elachista.fucicola",102156,305507,0.33438
"Eleocharis.palustris",1,11714,9e-05
"Eleocharis.parvula",3094,12587,0.24581
"Eleocharis.uniglumis",6267,36250,0.17288
"Elodea.canadensis",196,11048,0.01774
"Eudesme.virescens",91482,258156,0.35437
"Fucus.serratus",2459,169344,0.01452
"Fucus.vesiculosus.radicans",62629,228799,0.27373
"Furcellaria.lumbricalis",274733,711480,0.38614
"Gaillona.rosea",113905,298698,0.38134
"Halidrys.siliquosa",2,77860,3e-05
"Halosiphon.tomentosus",1915,28569,0.06703
"Hippuris.vulgaris",39,39147,0.001
"Juncus.gerardii",21570,31222,0.69086
"Laminaria.digitata",14339,294250,0.04873
"Leathesia.marina",94570,455594,0.20758
"Lemna.minor",23828,37666,0.63261
"Lemna.trisulca",79,36880,0.00214
"Lithothamnion.glaciale",5618,315272,0.01782
"Melobesia.membranacea",4095,111215,0.03682
"Membranoptera.alata",62465,340568,0.18341
"Mesogloia.vermiculata",10280,74835,0.13737
"Monostroma.balticum",22278,27287,0.81643
"Myriophyllum.alterniflorum",102,27700,0.00368
"Myriophyllum.sibiricum",98,28847,0.0034
"Myriophyllum.spicatum",39401,158014,0.24935
"Najas.marina",2254,42025,0.05363
"Nemalion.multifidum",4215,100256,0.04204
"Odonthalia.dentata",310,279470,0.00111
"Palmaria.palmata",7560,297430,0.02542
"Peyssonnelia.dubyi",20,175411,0.00011
"Phragmites.australis",4152,81466,0.05097
"Phycodrys.rubens",58783,477625,0.12307
"Phyllophora.crispa",100,39007,0.00256
"Polyides.rotunda",209224,642212,0.32579
"Polysiphonia.elongata",26429,166890,0.15836
"Polysiphonia.stricta",185669,706477,0.26281
"Potamogeton.crispus",171,7443,0.02297
"Potamogeton.friesii",1,7942,0.00013
"Potamogeton.perfoliatus",8013,176529,0.04539
"Pterothamnion.plumula",14,214091,7e-05
"Ranunculus.peltatus.peltatus",4127,39584,0.10426
"Rhizoclonium.riparium",19452,74138,0.26238
"Rhodochorton.purpureum",40844,380863,0.10724
"Rhodomela.confervoides",646927,1005231,0.64356
"Rubrointrusa.membranacea",7876,246594,0.03194
"Ruppia.cirrhosa",85757,192558,0.44536
"Ruppia.maritima",46490,111555,0.41675
"Saccharina.latissima",12627,321652,0.03926
"Sargassum.muticum",1,14143,7e-05
"Scagelothamnion.pusillum",18076,365080,0.04951
"Schoenoplectus.lacustris",4638,14696,0.3156
"Schoenoplectus.tabernaemontani",3782,75612,0.05002
"Scytosiphon.lomentaria",40406,115522,0.34977
"Spermatochnus.paradoxus",429,102602,0.00418
"Spermothamnion.repens",26140,261462,0.09998
"Sphacelaria.cirrosa",21768,420808,0.05173
"Sphaceloderma.caespitulum",31995,204583,0.15639
"Sphaerotrichia.divaricata",29668,230009,0.12899
"Spongomorpha.aeruginosa",2056,26503,0.07758
"Spongonema.tomentosum",448,32671,0.01371
"Stictyosiphon.tortilis",4195,33115,0.12668
"Stuckenia.pectinata",65649,273051,0.24043
"Triglochin.maritima",19077,37068,0.51465
"Typha.angustifolia",458,7428,0.06166
"Typha.latifolia",5,15988,0.00031
"Ulothrix.zonata",1,15285,7e-05
"Ulva.lactuca",23867,166265,0.14355
"Ulva.linza",662,10718,0.06177
"Ulva.prolifera",12876,46528,0.27674
"Urospora.penicilliformis",10516,40158,0.26187
"Vertebrata.byssoides",2666,341355,0.00781
"Vertebrata.fucoides",552818,980348,0.5639
"Zannichellia.major",19692,93638,0.2103
"Zannichellia.palustris",77589,272053,0.2852
"Zostera.marina",80085,204801,0.39104
"Zygnema",2,2873,7e-04
"Abra.alba",36712,189883,0.19334
