"scientific_name","zone_sum","presence_sum","zone_prop"
"Cerastoderma.edule",126951,201817,0.62904
"Cerastoderma.glaucum",23225,1218874,0.01905
"Chaetoderma.nitidulum",132144,134089,0.98549
"Chaetozone.setosa",320595,321772,0.99634
"Chalinula.limbata",158957,162236,0.97979
"Chamelea.gallina",139984,139984,1
"Clytia.hemisphaerica",1282,1289,0.99457
"Corbula.gibba",228383,258087,0.88491
"Corophium.volutator",9762,1652484,0.00591
"Crassicorophium.crassicor",30754,52694,0.58363
"Crenella.decussata",30305,30315,0.99967
"Cyanophthalma.obscura",783,735732,0.00106
"Cylichna.cylindracea",220432,221139,0.9968
"Dendrodoa.grossularia",21614,36971,0.58462
"Diastylis.laevis",82542,84634,0.97528
"Diastylis.rathkei",117687,1419963,0.08288
"Dipolydora.quadrilobata",51197,126330,0.40526
"Dosinia.exoleta",169826,169859,0.99981
"Echinocardium.cordatum",167045,169095,0.98788
"Echinocyamus.pusillus",214124,214825,0.99674
"Ecrobia.ventrosa",3125,603527,0.00518
"Edwardsia.longicornis",204173,205309,0.99447
"Einhornia.crustulenta",598,658107,0.00091
"Electra.pilosa",40851,57450,0.71107
"Ennucula.tenuis",189826,192180,0.98775
"Escharella.immersa",77088,77088,1
"Eteone.longa",261553,332859,0.78578
"Eucratea.loricata",208984,222648,0.93863
"Eudorella.truncatula",147588,153594,0.9609
"Eumida.bahusiensis",258659,266924,0.96904
"Eumida.sanguinea",130528,135363,0.96428
"Fabricia.stellaris",42554,248043,0.17156
"Fabulina.fabula",129193,129226,0.99974
"Filellum.serpens",348213,348669,0.99869
"Galathowenia.oculata",246480,252343,0.97677
"Gammarellus.homari",113,424,0.26651
"Gammarus.oceanicus",1,407320,0
"Gammarus.salinus",2106,1579576,0.00133
"Gammarus.tigrinus",328912,757503,0.43421
"Gammarus.zaddachi",4367,1637337,0.00267
"Gastrosaccus.spinifer",188524,256793,0.73415
"Gattyana.cirrhosa",423270,436336,0.97006
"Glycera.alba",245286,249978,0.98123
"Glycera.unicornis",194981,196364,0.99296
"Glycinde.nordmanni",120674,121126,0.99627
