"scientific_name","zone_sum","presence_sum","zone_prop"
"Bathyporeia.pilosa",56356,1281840,0.04396
"Cerastoderma.edule",369,201817,0.00183
"Cerastoderma.glaucum",82,1218874,7e-05
"Clytia.hemisphaerica",1,1289,0.00078
"Corophium.volutator",167338,1652484,0.10126
"Cyanophthalma.obscura",185483,735732,0.25211
"Dreissena.polymorpha",24322,50989,0.477
"Ecrobia.ventrosa",51808,603527,0.08584
"Edwardsia.longicornis",9,205309,4e-05
"Einhornia.crustulenta",15,658107,2e-05
"Eteone.longa",1,332859,0
"Eumida.bahusiensis",167,266924,0.00063
"Fabricia.stellaris",10,248043,4e-05
"Gammarus.oceanicus",8762,407320,0.02151
"Gammarus.salinus",38818,1579576,0.02457
"Gammarus.tigrinus",9358,757503,0.01235
"Gammarus.zaddachi",246162,1637337,0.15034
"Gattyana.cirrhosa",22,436336,5e-05
"Halicryptus.spinulosus",1525,2609721,0.00058
"Hediste.diversicolor",5237,1347603,0.00389
"Heterotanais.oerstedii",5,27679,0.00018
"Jaera.albifrons",17166,1301865,0.01319
"Limecola.balthica",107235,3370213,0.03182
"Marenzelleria",368355,3960923,0.093
"Metridium.senile",1,1525,0.00066
"Microphthalmus.sczelkowii",232,2632,0.08815
"Micrura.baltica",7612,717157,0.01061
"Monoporeia.affinis",343695,2071578,0.16591
"Mya.arenaria",463,1377896,0.00034
"Mysia.undata",30,236570,0.00013
"Mysis.mixta",1,501706,0
"Mysis.relicta",269445,1021276,0.26383
"Mytilus",159,1490848,0.00011
"Neomysis.integer",22349,375273,0.05955
"Peringia.ulvae",28711,1228380,0.02337
"Philine.quadripartita",497,19848,0.02504
"Pisione.remota",3996,62000,0.06445
"Pontoporeia.femorata",104,2013948,5e-05
"Pygospio.elegans",1001,2066403,0.00048
"Saduria.entomon",209623,2201049,0.09524
"Streblospio.shrubsolii",180,310126,0.00058
"Tanaissus.lilljeborgi",334,83432,0.004
"Theodoxus.fluviatilis",2745,592055,0.00464
