"scientific_name","zone_sum","presence_sum","zone_prop"
"Aegagropila.linnaei",50787,99009,0.51295
"Alisma.wahlenbergii",5150,5150,1
"Ascophyllum.nodosum",61,9185,0.00664
"Batrachospermum",1000,1000,1
"Battersia.arctica",7397,900071,0.00822
"Bolboschoenus.maritimus",4762,53194,0.08952
"Butomus.umbellatus",4614,6346,0.72707
"Callitriche.hermaphroditica",24347,31983,0.76125
"Callitriche.palustris",10864,10889,0.9977
"Caltha.palustris",14890,16326,0.91204
"Ceramium.diaphanum",38241,507214,0.07539
"Ceramium.tenuicorne",16372,784063,0.02088
"Ceratophyllum.demersum",11257,66800,0.16852
"Chaetomorpha.linum",49196,367933,0.13371
"Chara.aspera",52035,95198,0.5466
"Chara.baltica",200,105387,0.0019
"Chara.braunii",1796,1796,1
"Chara.canescens",3675,91050,0.04036
"Chara.connivens",8363,53663,0.15584
"Chara.tomentosa",1640,39064,0.04198
"Chara.virgata",8521,10078,0.84551
"Chorda.filum",3,216166,1e-05
"Cicuta.virosa",6017,6490,0.92712
"Cladophora.rupestris",11415,369017,0.03093
"Cladophora.sericea",661,219244,0.00301
"Coccotylus.Phyllophora",1,1527232,0
"Crassula.aquatica",2216,2339,0.94741
"Desmarestia.viridis",73,725880,1e-04
"Dictyosiphon.foeniculaceus",33,302236,0.00011
"Ectocarpus.Pylaiella",5003,624947,0.00801
"Elatine.hydropiper",14119,14247,0.99102
"Eleocharis.acicularis",30745,32148,0.95636
"Eleocharis.mamillata",3010,3122,0.96413
"Eleocharis.palustris",8316,11714,0.70992
"Eleocharis.parvula",6794,12587,0.53976
"Eleocharis.uniglumis",20507,36250,0.56571
"Elodea.canadensis",10532,11048,0.95329
"Elodea.nuttallii",4834,4834,1
"Equisetum.fluviatile",8910,10144,0.87835
"Fissidens.fontanus",21993,21993,1
"Fontinalis.antipyretica",86896,96973,0.89608
"Fontinalis.dalecarlica",5809,23220,0.25017
"Fontinalis.hypnoides",4308,4555,0.94577
"Fucus.serratus",7,169344,4e-05
"Fucus.vesiculosus.radicans",2487,228799,0.01087
"Furcellaria.lumbricalis",7,711480,1e-05
"Gaillona.rosea",258,298698,0.00086
"Hippuris.tetraphylla",126,144,0.875
"Hippuris.vulgaris",10981,39147,0.28051
"Juncus.gerardii",1815,31222,0.05813
"Leathesia.marina",3857,455594,0.00847
"Lemna.minor",1101,37666,0.02923
"Lemna.trisulca",16530,36880,0.44821
"Limosella.aquatica",17936,19350,0.92693
"Mesogloia.vermiculata",9,74835,0.00012
"Myriophyllum.alterniflorum",21500,27700,0.77617
"Myriophyllum.sibiricum",15050,28847,0.52172
"Myriophyllum.spicatum",31845,158014,0.20153
"Myriophyllum.verticillatum",10188,15174,0.67141
"Najas.marina",5244,42025,0.12478
"Nitella.flexilis",157740,160671,0.98176
"Nitella.wahlbergiana",2763,2763,1
"Nitellopsis.obtusa",430,619,0.69467
"Nuphar.lutea",5345,7918,0.67504
"Nymphaea.alba",6780,12589,0.53857
"Persicaria.foliosa",1535,1535,1
"Phragmites.australis",32241,81466,0.39576
"Polyides.rotunda",84,642212,0.00013
"Potamogeton.berchtoldii",17858,20353,0.87741
"Potamogeton.crispus",6027,7443,0.80975
"Potamogeton.friesii",7897,7942,0.99433
"Potamogeton.gramineus",20510,20510,1
"Potamogeton.natans",6857,9479,0.72339
"Potamogeton.obtusifolius",3647,6959,0.52407
"Potamogeton.perfoliatus",81869,176529,0.46377
"Potamogeton.praelongus",3182,3188,0.99812
"Potamogeton.pusillus",28770,31715,0.90714
"Ranunculus.aquatilis",1356,20090,0.0675
"Ranunculus.peltatus.peltatus",8497,39584,0.21466
"Ranunculus.reptans",9850,10050,0.9801
"Rhizoclonium.riparium",11648,74138,0.15711
"Ruppia.cirrhosa",22225,192558,0.11542
"Sagittaria.natans",905,908,0.9967
"Sagittaria.sagittifolia",2192,2660,0.82406
"Schoenoplectus.lacustris",4253,14696,0.2894
"Schoenoplectus.tabernaemontani",26290,75612,0.3477
"Sparganium.emersum",1283,1707,0.75161
"Spermatochnus.paradoxus",535,102602,0.00521
"Sphacelaria.cirrosa",694,420808,0.00165
"Stictyosiphon.tortilis",713,33115,0.02153
"Stuckenia.pectinata",35917,273051,0.13154
"Stuckenia.vaginata",1067,1422,0.75035
"Subularia.aquatica",22788,24139,0.94403
"Triglochin.maritima",4031,37068,0.10875
"Typha.angustifolia",3132,7428,0.42165
"Typha.latifolia",6961,15988,0.43539
"Ulothrix.zonata",15254,15285,0.99797
"Ulva.prolifera",292,46528,0.00628
"Urospora.penicilliformis",4,40158,1e-04
"Utricularia.vulgaris",2411,2608,0.92446
"Vaucheria",58680,113537,0.51684
"Vertebrata.fucoides",10740,980348,0.01096
"Zannichellia.major",2911,93638,0.03109
"Zannichellia.palustris",75276,272053,0.2767
"Zostera.marina",8246,204801,0.04026
"Zygnema",1087,2873,0.37835
"Alitta.succinea",93,182993,0.00051
"Apherusa.bispinosa",108,64342,0.00168
"Asterias.rubens",700,257439,0.00272
"Baltidrilus.costatus",169,63108,0.00268
