"species","colour","cluster","cluster_int"
"Zygnema","#AA9000","E",5
"Crassula.aquatica","#AA9000","E",5
"Persicaria.foliosa","#AA9000","E",5
"Elodea.canadensis","#AA9000","E",5
"Elodea.nuttallii","#AA9000","E",5
"Equisetum.fluviatile","#AA9000","E",5
"Potamogeton.friesii","#AA9000","E",5
"Sagittaria.natans","#AA9000","E",5
"Chara.braunii","#AA9000","E",5
"Nitella.wahlbergiana","#AA9000","E",5
"Potamogeton.gramineus","#00AA5A","D",4
"Callitriche.hermaphroditica","#00AA5A","D",4
"Myriophyllum.alterniflorum","#00AA5A","D",4
"Eleocharis.uniglumis","#00AA5A","D",4
"Limosella.aquatica","#00AA5A","D",4
"Potamogeton.pusillus","#00AA5A","D",4
"Eleocharis.acicularis","#00AA5A","D",4
"Subularia.aquatica","#00AA5A","D",4
"Callitriche.palustris","#00AA5A","D",4
"Potamogeton.berchtoldii","#00AA5A","D",4
"Ranunculus.reptans","#00AA5A","D",4
"Caltha.palustris","#00AA5A","D",4
"Elatine.hydropiper","#00AA5A","D",4
"Fontinalis.hypnoides","#00AA5A","D",4
"Eleocharis.mamillata","#00AA5A","D",4
"Cicuta.virosa","#00AA5A","D",4
"Alisma.wahlenbergii","#00AA5A","D",4
"Eleocharis.parvula","#00AA5A","D",4
"Lemna.trisulca","#00AA5A","D",4
"Myriophyllum.sibiricum","#00AA5A","D",4
"Hippuris.vulgaris","#00AA5A","D",4
"Schoenoplectus.tabernaemontani","#00AA5A","D",4
"Eleocharis.palustris","#00AA5A","D",4
"Ranunculus.peltatus.peltatus","#00AA5A","D",4
"Chara.virgata","#00AA5A","D",4
"Triglochin.maritima","#00AA5A","D",4
"Potamogeton.obtusifolius","#00AA5A","D",4
"Utricularia.vulgaris","#00AA5A","D",4
"Sagittaria.sagittifolia","#00A6CA","C",3
"Sparganium.emersum","#00A6CA","C",3
"Schoenoplectus.lacustris","#00A6CA","C",3
"Potamogeton.natans","#00A6CA","C",3
"Nuphar.lutea","#00A6CA","C",3
"Nymphaea.alba","#00A6CA","C",3
"Myriophyllum.verticillatum","#00A6CA","C",3
"Typha.latifolia","#00A6CA","C",3
"Butomus.umbellatus","#00A6CA","C",3
"Potamogeton.crispus","#00A6CA","C",3
"Najas.marina","#00A6CA","C",3
"Typha.angustifolia","#00A6CA","C",3
"Ceratophyllum.demersum","#00A6CA","C",3
"Phragmites.australis","#00A6CA","C",3
"Chara.connivens","#B675E0","B",2
"Rhizoclonium.riparium","#B675E0","B",2
"Dreissena.polymorpha","#B675E0","B",2
"Myriophyllum.spicatum","#B675E0","B",2
"Ruppia.cirrhosa","#B675E0","B",2
"Chaetomorpha.linum","#B675E0","B",2
"Stuckenia.pectinata","#B675E0","B",2
"Potamogeton.perfoliatus","#E16A86","A",1
"Vaucheria","#E16A86","A",1
"Chara.aspera","#E16A86","A",1
"Zannichellia.palustris","#E16A86","A",1
"Fontinalis.antipyretica","#E16A86","A",1
"Aegagropila.linnaei","#E16A86","A",1
"Corophium.volutator","#E16A86","A",1
"Nitella.flexilis","#E16A86","A",1
"Cyanophthalma.obscura","#E16A86","A",1
"Gammarus.zaddachi","#E16A86","A",1
"Monoporeia.affinis","#E16A86","A",1
"Mysis.relicta","#E16A86","A",1
"Fontinalis.dalecarlica","#E16A86","A",1
"Fissidens.fontanus","#E16A86","A",1
"Ulothrix.zonata","#E16A86","A",1
"Potamogeton.praelongus","#E16A86","A",1
"Stuckenia.vaginata","#E16A86","A",1
"Nitellopsis.obtusa","#E16A86","A",1
"Batrachospermum","#E16A86","A",1
"Hippuris.tetraphylla","#E16A86","A",1
