"species","colour","cluster","cluster_int"
"Ecrobia.ventrosa","#B675E0","E",5
"Gammarus.oceanicus","#B675E0","E",5
"Theodoxus.fluviatilis","#B675E0","E",5
"Peringia.ulvae","#B675E0","E",5
"Amphibalanus.improvisus","#B675E0","E",5
"Mya.arenaria","#B675E0","E",5
"Cerastoderma.glaucum","#B675E0","E",5
"Hediste.diversicolor","#B675E0","E",5
"Battersia.arctica","#B675E0","E",5
"Corophium.volutator","#B675E0","E",5
"Gammarus.zaddachi","#B675E0","E",5
"Gammarus.salinus","#B675E0","E",5
"Jaera.albifrons","#B675E0","E",5
"Bathyporeia.pilosa","#B675E0","E",5
"Cyanophthalma.obscura","#B675E0","E",5
"Einhornia.crustulenta","#B675E0","E",5
"Cladophora.rupestris","#B675E0","E",5
"Neomysis.integer","#B675E0","E",5
"Coccotylus.Phyllophora","#B675E0","E",5
"Pygospio.elegans","#B675E0","E",5
"Vertebrata.fucoides","#B675E0","E",5
"Ceramium.tenuicorne","#B675E0","E",5
"Ectocarpus.Pylaiella","#B675E0","E",5
"Furcellaria.lumbricalis","#B675E0","E",5
"Gaillona.rosea","#B675E0","E",5
"Rhodochorton.purpureum","#B675E0","E",5
"Eudesme.virescens","#B675E0","E",5
"Mytilus","#B675E0","E",5
"Pontoporeia.femorata","#E16A86","D",4
"Monoporeia.affinis","#E16A86","D",4
"Saduria.entomon","#E16A86","D",4
"Mysis.mixta","#E16A86","D",4
"Mysis.relicta","#E16A86","D",4
"Bylgides.sarsi","#E16A86","D",4
"Marenzelleria","#E16A86","D",4
"Halicryptus.spinulosus","#E16A86","D",4
"Limecola.balthica","#E16A86","D",4
"Elachista.fucicola","#00AA5A","C",3
"Stictyosiphon.tortilis","#00AA5A","C",3
"Zannichellia.major","#00AA5A","C",3
"Chorda.filum","#00AA5A","C",3
"Dictyosiphon.foeniculaceus","#00AA5A","C",3
"Fucus.vesiculosus.radicans","#00AA5A","C",3
"Ulva.prolifera","#00AA5A","C",3
"Urospora.penicilliformis","#00AA5A","C",3
"Chaetomorpha.linum","#00AA5A","C",3
"Chara.connivens","#00AA5A","C",3
"Rhizoclonium.riparium","#00AA5A","C",3
"Ruppia.cirrhosa","#00AA5A","C",3
"Ruppia.maritima","#00AA5A","C",3
"Chara.baltica","#00AA5A","C",3
"Chara.canescens","#00AA5A","C",3
"Gammarus.tigrinus","#00AA5A","C",3
"Potamogeton.perfoliatus","#00AA5A","C",3
"Myriophyllum.spicatum","#00AA5A","C",3
"Stuckenia.pectinata","#00AA5A","C",3
"Ranunculus.peltatus.peltatus","#00AA5A","C",3
"Chara.aspera","#00AA5A","C",3
"Zannichellia.palustris","#00AA5A","C",3
"Bolboschoenus.maritimus","#00A6CA","B",2
"Ranunculus.aquatilis","#00A6CA","B",2
"Ceratophyllum.demersum","#00A6CA","B",2
"Phragmites.australis","#00A6CA","B",2
"Myriophyllum.sibiricum","#00A6CA","B",2
"Chara.tomentosa","#00A6CA","B",2
"Najas.marina","#00A6CA","B",2
"Lemna.trisulca","#00A6CA","B",2
"Vaucheria","#00A6CA","B",2
"Hippuris.vulgaris","#00A6CA","B",2
"Schoenoplectus.tabernaemontani","#00A6CA","B",2
"Schoenoplectus.lacustris","#AA9000","A",1
"Typha.angustifolia","#AA9000","A",1
"Myriophyllum.verticillatum","#AA9000","A",1
"Nymphaea.alba","#AA9000","A",1
"Typha.latifolia","#AA9000","A",1
"Nuphar.lutea","#AA9000","A",1
"Equisetum.fluviatile","#AA9000","A",1
"Potamogeton.natans","#AA9000","A",1
"Sagittaria.sagittifolia","#AA9000","A",1
"Sparganium.emersum","#AA9000","A",1
"Callitriche.hermaphroditica","#AA9000","A",1
"Myriophyllum.alterniflorum","#AA9000","A",1
"Chara.virgata","#AA9000","A",1
"Butomus.umbellatus","#AA9000","A",1
"Potamogeton.crispus","#AA9000","A",1
"Fontinalis.antipyretica","#AA9000","A",1
"Fontinalis.dalecarlica","#AA9000","A",1
"Eleocharis.uniglumis","#AA9000","A",1
"Juncus.gerardii","#AA9000","A",1
"Lemna.minor","#AA9000","A",1
"Dreissena.polymorpha","#AA9000","A",1
"Monostroma.balticum","#AA9000","A",1
"Potamogeton.obtusifolius","#AA9000","A",1
"Zygnema","#AA9000","A",1
"Eleocharis.palustris","#AA9000","A",1
"Eleocharis.parvula","#AA9000","A",1
"Stuckenia.vaginata","#AA9000","A",1
"Aegagropila.linnaei","#AA9000","A",1
"Potamogeton.berchtoldii","#AA9000","A",1
"Cerastoderma.edule","#AA9000","A",1
"Hippuris.tetraphylla","#AA9000","A",1
"Nitellopsis.obtusa","#AA9000","A",1
